date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-08-02,Holistic Transition,member_06,30550.0,10340.0,20210.0
2035-08-02,Electric Engagement,member_06,30932.283,10722.284,20210.0
2035-02-19,Electric Engagement,member_13,31020.0,10810.0,20210.0
2035-02-06,Electric Engagement,member_13,31020.0,10810.0,20210.0
2035-02-19,Holistic Transition,member_06,31020.0,10810.0,20210.0
2035-02-19,Electric Engagement,member_12,31020.0,10810.0,20210.0
2035-02-07,Holistic Transition,member_12,30550.0,10340.0,20210.0
2035-08-01,Electric Engagement,member_06,29846.191,9636.191,20210.0
2035-07-12,Electric Engagement,member_13,29610.0,9400.0,20210.0
2036-01-03,Electric Engagement,member_12,30550.0,10340.0,20210.0
2035-07-12,Holistic Transition,member_13,29610.0,9400.0,20210.0
2035-03-21,Electric Engagement,member_12,29606.49,9400.0,20206.49
2035-06-16,Holistic Transition,member_06,30504.38,10340.0,20164.38
2035-02-17,Holistic Transition,member_13,28596.086,8460.0,20136.086
2035-07-12,Electric Engagement,member_06,29384.227,9400.0,19984.227
2035-12-30,Electric Engagement,member_12,30301.055,10340.0,19961.055
2035-12-13,Electric Engagement,member_12,30151.205,10340.0,19811.205
2035-05-05,Electric Engagement,member_06,30489.621,10703.398,19786.223
2035-10-12,Electric Engagement,member_12,31020.0,11280.0,19740.0
2035-10-12,Electric Engagement,member_13,31020.0,11280.0,19740.0
2035-10-12,Holistic Transition,member_06,31020.0,11280.0,19740.0
2035-10-12,Holistic Transition,member_12,31020.0,11280.0,19740.0
2035-02-07,Holistic Transition,member_13,29610.0,9870.0,19740.0
2035-10-12,Holistic Transition,member_13,31020.0,11280.0,19740.0
2036-01-08,Holistic Transition,member_12,30143.195,10403.196,19740.0
2035-03-16,Electric Engagement,member_06,29610.0,9870.0,19740.0
2035-10-12,Electric Engagement,member_06,31020.0,11280.0,19740.0
2035-06-06,Holistic Transition,member_06,30272.693,10532.693,19740.0
2035-06-13,Electric Engagement,member_12,30970.162,11280.0,19690.162
2035-06-06,Holistic Transition,member_12,29769.725,10340.0,19429.725
2035-07-12,Holistic Transition,member_06,28780.97,9400.0,19380.97
